status	source_json	checkpoint	checkpoint_dir	layer_label	analog_layers	eval_c2c	eval_d2d	d2d_seed	ppl	has_commit	has_command	has_config	has_dataset	has_eval_protocol	has_checkpoint_sha256	missing_required_metadata
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.01_d2d0.02_seed1001.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0.01	0.02	1001	18.819	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.01_d2d0.02_seed123.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0.01	0.02	123	18.7733	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.01_d2d0.02_seed42.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0.01	0.02	42	18.8161	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.01_d2d0.02_seed456.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0.01	0.02	456	18.8151	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.01_d2d0.02_seed789.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0.01	0.02	789	18.7946	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.01_d2d0.0_seed42.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0.01	0	42	18.684	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed1001.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0	0.02	1001	18.789	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed123.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0	0.02	123	18.7448	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed42.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0	0.02	42	18.8061	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
fail_missing_required_metadata	remote_reviews/107/results/paper2/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed456.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	last1_24l	23	0	0.02	456	18.8009	0	0	0	0	0	0	checkpoint_sha256,command,commit,config,dataset,eval_protocol
